police_beat,street_name,street_type,injured,killed,full_name,year
241,MIRAMAR,nan,2,0,MIRAMAR ,2017
233,CUCA,ST,0,0,CUCA ST,2017
524,ASH,ST,1,0,ASH ST,2017
516,32ND,ST,0,0,32ND ST,2017
241,AVIARY,DR,2,0,AVIARY DR,2017
114,CLAIREMONT,DR,1,0,CLAIREMONT DR,2017
241,MIRA MESA,BLVD,0,0,MIRA MESA BLVD,2017
627,09TH,AVE,2,0,09TH AVE,2017
232,CARMEL MTN,RD,1,0,CARMEL MTN RD,2017
934,CARMEL VALLEY,RD,0,0,CARMEL VALLEY RD,2017
315,CAM DEL RIO,nan,2,0,CAM DEL RIO ,2017
614,EBERS,ST,1,0,EBERS ST,2017
241,KEARNY VILLA,RD,1,0,KEARNY VILLA RD,2017
627,UNIVERSITY,AVE,1,0,UNIVERSITY AVE,2017
313,OTHELLO,AVE,0,0,OTHELLO AVE,2017
826,53RD,ST,0,0,53RD ST,2017
627,BACHMAN,PL,1,0,BACHMAN PL,2017
512,IMPERIAL,AVE,1,0,IMPERIAL AVE,2017
116,BALBOA,AVE,1,0,BALBOA AVE,2017
517,TREAT,ST,0,0,TREAT ST,2017
614,BACON,ST,1,0,BACON ST,2017
231,CREEKVIEW,DR,0,0,CREEKVIEW DR,2017
712,PRIMERA,nan,0,0,PRIMERA ,2017
123,SEAWORLD,nan,0,0,SEAWORLD ,2017
113,CLAIREMONT MESA,BLVD,0,0,CLAIREMONT MESA BLVD,2017
612,CADIZ,ST,0,0,CADIZ ST,2017
934,EL CAMINO REAL,nan,0,0,EL CAMINO REAL ,2017
441,36TH,ST,0,0,36TH ST,2017
316,MISSION VILLAGE,DR,0,0,MISSION VILLAGE DR,2017
931,MIRA MESA,BLVD,3,0,MIRA MESA BLVD,2017
124,LA JOLLA,BLVD,0,0,LA JOLLA BLVD,2017
529,KALMIA,ST,0,0,KALMIA ST,2017
627,WASHINGTON,ST,0,0,WASHINGTON ST,2017
121,MISSION,BLVD,0,0,MISSION BLVD,2017
627,CLEVELAND,AVE,0,0,CLEVELAND AVE,2017
242,CAM RUIZ,nan,0,0,CAM RUIZ ,2017
