report_id,date_time,police_beat,street_name,street_type,injured,killed,hit_run_lvl,full_name
170141,2017-01-03 14:43:00,326,MONTEZUMA,RD,0,0,nan,MONTEZUMA RD
170189,2017-01-03 17:00:00,243,MIRAMAR,RD,3,0,nan,MIRAMAR RD
170165,2017-01-03 17:00:00,515,MARKET,ST,0,0,MISDEMEANOR,MARKET ST
170100,2017-01-03 17:15:00,321,FAIRMOUNT,AVE,0,0,MISDEMEANOR,FAIRMOUNT AVE
170188,2017-01-03 18:42:00,242,KIKA,CT,1,0,nan,KIKA CT
170177,2017-01-03 19:39:00,624,MADISON,AVE,1,0,MISDEMEANOR,MADISON AVE
170341,2017-01-03 19:40:00,122,GARNET,AVE,0,0,MISDEMEANOR,GARNET AVE
170194,2017-01-03 21:34:00,522,MARKET,ST,1,0,nan,MARKET ST
170107,2017-01-03 22:36:00,516,33RD,ST,0,0,MISDEMEANOR,33RD ST
170167,2017-01-04 00:01:00,441,HEMLOCK,ST,0,0,MISDEMEANOR,HEMLOCK ST
170155,2017-01-04 02:37:00,723,PICCARD,AVE,0,0,MISDEMEANOR,PICCARD AVE
170192,2017-01-04 06:45:00,242,PORT ROYALE,DR,1,0,nan,PORT ROYALE DR
170173,2017-01-04 08:04:00,437,PARADISE VALLEY,RD,2,0,nan,PARADISE VALLEY RD
170542,2017-01-04 08:07:00,122,GARNET,AVE,0,0,nan,GARNET AVE
170161,2017-01-04 08:09:00,622,MORENA,BLVD,0,0,MISDEMEANOR,MORENA BLVD
170383,2017-01-04 09:00:00,813,30TH,ST,0,0,MISDEMEANOR,30TH ST
170970,2017-01-04 09:02:00,627,05TH,AVE,0,0,MISDEMEANOR,05TH AVE
170280,2017-01-04 10:30:00,528,GRAPE,ST,0,0,MISDEMEANOR,GRAPE ST
170171,2017-01-04 10:50:00,821,70TH,ST,2,0,nan,70TH ST
170164,2017-01-04 13:20:00,841,COLLEGE,AVE,0,0,MISDEMEANOR,COLLEGE AVE
170373,2017-01-04 14:14:00,621,FULTON,ST,0,0,nan,FULTON ST
170195,2017-01-04 15:30:00,315,CAM DE LA REINA,,0,0,nan,CAM DE LA REINA 
170191,2017-01-04 15:30:00,234,RANCHO BERNARDO,RD,1,0,nan,RANCHO BERNARDO RD
170230,2017-01-04 15:45:00,232,WORLD TRADE,DR,0,0,MISDEMEANOR,WORLD TRADE DR
170491,2017-01-04 16:20:00,821,ROLANDO,BLVD,1,0,nan,ROLANDO BLVD
170172,2017-01-04 17:10:00,311,RUFFIN,RD,1,0,nan,RUFFIN RD
170200,2017-01-04 17:15:00,122,MISSOURI,ST,0,0,MISDEMEANOR,MISSOURI ST
170371,2017-01-04 17:20:00,124,PALOMAR,AVE,0,0,nan,PALOMAR AVE
170243,2017-01-04 17:30:00,124,TORREY PINES,RD,1,0,nan,TORREY PINES RD
170264,2017-01-04 17:31:00,931,VISTA SORRENTO,PARKWAY,2,0,nan,VISTA SORRENTO PARKWAY
170190,2017-01-04 18:28:00,231, I-15 NB,,1,0,nan, I-15 NB 
170455,2017-01-04 20:00:00,821,EL CAJON,BLVD,0,0,MISDEMEANOR,EL CAJON BLVD
170235,2017-01-04 20:53:00,833,CHAMOUNE,AVE,1,0,MISDEMEANOR,CHAMOUNE AVE
170213,2017-01-04 20:54:00,828,CASTLE,AVE,0,0,MISDEMEANOR,CASTLE AVE
170254,2017-01-04 20:57:00,311,MISSION VILLAGE,DR,1,0,nan,MISSION VILLAGE DR
170159,2017-01-04 20:58:00,839,WIGHTMAN,ST,0,0,MISDEMEANOR,WIGHTMAN ST
170300,2017-01-04 22:07:00,437,ALTA VIEW,DR,0,0,MISDEMEANOR,ALTA VIEW DR
170346,2017-01-05 00:01:00,116,LLOYD,ST,0,0,MISDEMEANOR,LLOYD ST
170666,2017-01-05 03:11:00,626,INDIA,ST,1,0,nan,INDIA ST
170299,2017-01-05 07:30:00,437,PARADISE VALLEY,RD,1,0,nan,PARADISE VALLEY RD
170458,2017-01-05 07:50:00,511,MAIN,ST,0,0,MISDEMEANOR,MAIN ST
180393,2017-01-05 08:30:00,931,SORRENTO VALLEY,BLVD,0,0,nan,SORRENTO VALLEY BLVD
170360,2017-01-05 08:48:00,241,MIRAMAR,,2,0,nan,MIRAMAR 
171172,2017-01-05 09:00:00,233,CUCA,ST,0,0,MISDEMEANOR,CUCA ST
170196,2017-01-05 09:38:00,524,ASH,ST,1,0,nan,ASH ST
170541,2017-01-05 09:55:00,516,32ND,ST,0,0,nan,32ND ST
170187,2017-01-05 10:43:00,241,AVIARY,DR,2,0,nan,AVIARY DR
180418,2017-01-05 10:46:00,114,CLAIREMONT,DR,1,0,nan,CLAIREMONT DR
170350,2017-01-05 11:00:00,241,MIRA MESA,BLVD,0,0,MISDEMEANOR,MIRA MESA BLVD
170335,2017-01-05 11:00:00,627,09TH,AVE,2,0,nan,09TH AVE
170284,2017-01-05 11:20:00,232,CARMEL MTN,RD,1,0,nan,CARMEL MTN RD
170233,2017-01-05 11:27:00,934,CARMEL VALLEY,RD,0,0,MISDEMEANOR,CARMEL VALLEY RD
170193,2017-01-05 12:30:00,315,CAM DEL RIO,,2,0,nan,CAM DEL RIO 
170184,2017-01-05 12:55:00,614,EBERS,ST,1,0,nan,EBERS ST
170259,2017-01-05 13:25:00,241,KEARNY VILLA,RD,1,0,nan,KEARNY VILLA RD
170258,2017-01-05 14:19:00,627,UNIVERSITY,AVE,1,0,nan,UNIVERSITY AVE
170315,2017-01-05 15:00:00,313,OTHELLO,AVE,0,0,MISDEMEANOR,OTHELLO AVE
170215,2017-01-05 15:35:00,826,53RD,ST,0,0,MISDEMEANOR,53RD ST
170186,2017-01-05 15:40:00,627,BACHMAN,PL,1,0,nan,BACHMAN PL
170183,2017-01-05 18:49:00,512,IMPERIAL,AVE,1,0,nan,IMPERIAL AVE
170438,2017-01-05 18:57:00,116,BALBOA,AVE,1,0,nan,BALBOA AVE
170175,2017-01-05 19:07:00,517,TREAT,ST,0,0,MISDEMEANOR,TREAT ST
170185,2017-01-05 19:59:00,614,BACON,ST,1,0,nan,BACON ST
170231,2017-01-05 20:30:00,231,CREEKVIEW,DR,0,0,MISDEMEANOR,CREEKVIEW DR
170206,2017-01-05 20:52:00,712,PRIMERA,,0,0,MISDEMEANOR,PRIMERA 
170181,2017-01-05 22:28:00,123,SEAWORLD,,0,0,MISDEMEANOR,SEAWORLD 
170343,2017-01-06 00:01:00,113,CLAIREMONT MESA,BLVD,0,0,nan,CLAIREMONT MESA BLVD
170408,2017-01-06 00:01:00,612,CADIZ,ST,0,0,MISDEMEANOR,CADIZ ST
170338,2017-01-06 00:01:00,934,EL CAMINO REAL,,0,0,MISDEMEANOR,EL CAMINO REAL 
170301,2017-01-06 01:46:00,441,36TH,ST,0,0,MISDEMEANOR,36TH ST
170270,2017-01-06 02:00:00,316,MISSION VILLAGE,DR,0,0,nan,MISSION VILLAGE DR
170253,2017-01-06 07:00:00,931,MIRA MESA,BLVD,3,0,nan,MIRA MESA BLVD
170199,2017-01-06 07:00:00,124,LA JOLLA,BLVD,0,0,MISDEMEANOR,LA JOLLA BLVD
170205,2017-01-06 09:30:00,529,KALMIA,ST,0,0,MISDEMEANOR,KALMIA ST
170672,2017-01-06 11:20:00,627,WASHINGTON,ST,0,0,MISDEMEANOR,WASHINGTON ST
170314,2017-01-06 11:30:00,121,MISSION,BLVD,0,0,MISDEMEANOR,MISSION BLVD
170337,2017-01-06 12:00:00,627,CLEVELAND,AVE,0,0,MISDEMEANOR,CLEVELAND AVE
170229,2017-01-06 12:00:00,242,CAM RUIZ,,0,0,MISDEMEANOR,CAM RUIZ 
170242,2017-01-06 12:50:00,124,TORREY PINES,RD,1,0,nan,TORREY PINES RD
170265,2017-01-06 13:20:00,243,CAM SANTA FE,,4,0,nan,CAM SANTA FE 
175065,2017-01-06 13:45:00,451,54TH,ST,0,0,MISDEMEANOR,54TH ST
170291,2017-01-06 13:53:00,932,TORREY PINES,RD,1,0,nan,TORREY PINES RD
170255,2017-01-06 14:00:00,325,MISSION GORGE,RD,1,0,nan,MISSION GORGE RD
170224,2017-01-06 14:50:00,326,COLLWOOD,BLVD,0,0,MISDEMEANOR,COLLWOOD BLVD
170228,2017-01-06 15:00:00,623,HOTEL,CIR,0,0,MISDEMEANOR,HOTEL CIR
170543,2017-01-06 15:03:00,124,TORREY PINES,RD,0,0,nan,TORREY PINES RD
170241,2017-01-06 15:34:00,122,I-5 SB,,1,0,nan,I-5 SB 
170256,2017-01-06 16:35:00,315,STATION VILLAGE,WAY,2,0,nan,STATION VILLAGE WAY
170216,2017-01-06 16:45:00,825,KENSINGTON,DR,0,0,MISDEMEANOR,KENSINGTON DR
170752,2017-01-06 17:00:00,623,FRIARS,RD,0,0,MISDEMEANOR,FRIARS RD
170246,2017-01-06 17:20:00,524,BROADWAY,,1,0,nan,BROADWAY 
170201,2017-01-06 17:20:00,111,MANITOU,WAY,0,0,MISDEMEANOR,MANITOU WAY
170324,2017-01-06 18:13:00,431,EUCLID,AVE,1,0,nan,EUCLID AVE
170250,2017-01-06 18:25:00,838,WABASH,AVE,1,0,nan,WABASH AVE
170475,2017-01-06 18:27:00,934,CARMEL VALLEY,RD,1,0,nan,CARMEL VALLEY RD
170275,2017-01-06 19:19:00,113,CONNER,WAY,0,0,MISDEMEANOR,CONNER WAY
170240,2017-01-06 20:41:00,114,CLAIREMONT,DR,2,0,nan,CLAIREMONT DR
170219,2017-01-06 20:52:00,315,FRIARS,RD,0,0,MISDEMEANOR,FRIARS RD
170276,2017-01-06 21:22:00,627,04TH,AVE,0,0,MISDEMEANOR,04TH AVE
170268,2017-01-06 22:51:00,824,MONTEZUMA,RD,0,0,nan,MONTEZUMA RD
170260,2017-01-06 23:30:00,235,SAN PASQUAL VALLEY,RD,2,0,nan,SAN PASQUAL VALLEY RD
170274,2017-01-07 02:50:00,115,EDMONTON,AVE,0,0,MISDEMEANOR,EDMONTON AVE
